version,date,description
b9951,2026-07-10T16:15:00Z,"ggml-et: Initial ET backend (#24179) | ggml-et: Add performance logging | ggml-et: Quants helpers | ggml-et: Add MUL_MAT kernel | ggml-et: Add ROPE kernel | ggml-et: Add RMS_NORM kernel | ggml-et: Add GLU kernel | ggml-et: Add SOFT_MAX kernel | ggml-et: Add GET_ROWS kernel | ggml-et: Add CONT kernel | ggml-et: Add SET_ROWS kernel | ggml-et: Add MUL_MAT_ID kernel | ggml-et: Build et kernels as part of ggml | ggml-et: Embed kernels with fs fallback | ggml-et: Build fixes | ggml-et: Add MUL_MAT F32xF32 op | ggml_et: Add MUL_MAT_ID op | ggml-et: Disable offloading for debug | ggml-et: Refactor out block ops | ggml-et: ggml backend API changes | ggml-et: Add RESHAPE/TRANSPOSE to supported | ggml-et: Add CONT_F16 | ggml-et: Add supported ops doc | gglm-et: Initial doc | ggml-et: Remove runtime import hacks We can now import the runtime by a simple find_package(), so we can cleanup the CMakeLists.txt. | ggml-et: Fix GET_ROWS kernel Fix lost batch dimension. Also clean vibe-comments. | ggml-et: Fix SET_ROWS kernel Remove incorrect broadcasting guard. | ggml-et: Use custom instruction for fp32->fp16 | ggml-et: Vectorize set_rows fp32->fp16 | ggml-et: Fix ROPE kernel (yarn) ggml-et: fix et_logf WIP: Fix ramp WIP: fix ROPE! | ggml-et: Better sinf | ggml-et: Fix SOFT_MAX Add `max_bias` and `sink` support. | ggml-et: Fix CONT Reorder from contiguous write to read with atomic stores. | ggml-et: Fix elmap kernel Remainder handlin | ggml-et: Fix MUL_MAT MUL_MAT_ID remainders | ggml-et: Fix ET-SOC reference | ggml-et: Fix embed kernels scripts for old python This allows GGML-ET to build on pre-3.8 python. | Add sysemu support with compile time flag `-DGGML_ET_SYSEMU=ON` (#6) | Example using ET-Soc-1 emulator configuration Example usage: ```bash cmake -B build -DGGML_CUDA=OFF -DGGML_ET=ON -DLLAMA_CURL=OFF -DGGML_CCACHE=ON cmake --build build --config Release -j $(nproc) time ./build/bin/test-backend-ops ./build/bin/llama-server \ --model Qwen3-0.6B-Q8_0.gguf \ --alias Qwen3-0.6B-Q8_0 \ -fa 0 \ --ctx-size 1024 \ --no-warmup \ --host 127.0.0.1 \ --port 8080 ``` | build: proper dep tracking for kernels | support host using MOLD linker | initial multi core GET_ROW F32 implementation | vectorized q8 dequant | wip: cland warning clenaups and initial logging refactor | wip: message default message cleanup | chore: message cleanups | cmake cleanup | migrate to use platform provided functions | cmake back into subdir | support et_print() in kernels | fix: repair kernel building | perf: operations run async by default | debug: proper kernel dep tracking and error detection on kenrel launch | fix: kernel binary dep tracking and fixing get_rows_f32 erroring | perf: back to doing async kernel runs by default | perf: vectorize and parallel device memset | merge matmul work | misc: align allocation and enable all offload | misc: delete deadcode and respect memory limits | fix: repair tensor debug print | fix: loosen RMS_NORM op percision | feat: Q4_0 GET_ROWS | perf: FP32 MUL_MAT using TensorFMA | update limitations | perf: redue L1 load in compute_block_dot_product_q8_0 | feat: save kernel mapping (name to id) when profiling is enabled | chore: memops cleanup | perf: parallelize softmax by rows | perf: vectorize 2nd phase of softmax | perf: ban GET_ROWS from offloaded | perf: vectorize and non-atomic for eltwise ops and sub support | perf: vectorize normal rope | perf: glu runs in parallel | merge: manually merge saqib's work on kernel fixes | perf: more vectorized RoPE | perf: parallelize mul_mat_id | perf: parallelize set_rows_f32 | perf: vectorize softmax | feat: support kernel fusion and fuse RMS_NORM + MUL | fix: mostly resolve test-backend-ops failure in SOFT_MAX and ROPE | fix: bump max rope dims for gemma | feat: GeGLU and SCALE support to fully offload Gemma | perf: faster device memset | feat: get_rows supporting Q4_K and avoid cont cache coherent issues | better F32 MM | feat: NORM for ET backend | feat: SQR for ET backend | feat: UNARY on ET | feat: el_map support broadcasting for ET | feat: SUM_ROWS in ET backend | feat: more ops in ET backend | feat: WKV* operators in ET backend | perf: parallelize operators across cacheline instead of row | perf: parallelize get_rows on cacheline | wip: baseline FlashAttention for ET backend | wip: enough FA and CPY f32->f16 to run llama 3.1 fully offloaded with FA on | feat: f16 x f16 -> f32 MM using matrix engine | wip: f16 FlashAttention using matrix engine | wip: clean up | feat: barriers | perf: optimize FA_F16 in ET | perf: vectorize pack_k_for_transpose16 | perf: prefetch next loop matrix tile | perf: FlashAttention 2nd MM uses TensorFMA and optimizations | cleanup: flashattention reorg | perf: optimizations and fixes | feat: L2SCP API and make FlashAttention support DV = 256 for gemma | perf: parallelize norms beyond single row | feat: GATED_DELTA_NET support and relaxed L2_NORM requirment | feat: loosen RMS_NORM, NORM, ROPE contingous req too | feat: repeat supports brocasting on dim 0 and loosen cont check | feat: FILL and DIAG operator | feat: loosen UNARY support chcek | feat: TRI support | feat: SOLVE_TRI support | feat: basic SET support | feat: loosen CONT req | perf: fp16_to_fp32 use ASM | feat: IMROPE support | feat: PAD support | feat: global barrier | fix: view must live on the same backend as backing tensor | feat: relax CONCAT in ET backend | feat: dead simple CUMSUM implementation | feat: basic SSM_CONV support | feat: loosen CONCAT req | feat: relax GATED_DELTA_NET and add SET support proper | cleanup: cleanup LCM math | feat: SWIGLU single input | feat: SSM_SCAN support | feat: el_map supports non aligned tensors in best effort | feat: basic GROUP_NORM support | feat: loosen MUL_MAT capablities slightly | feat: loosen MUL_MAT and GET_ROWS and add IM2COL | feat: special case for softmax 1x1x1x1 | feat: loosen SOFT_MAX req in ET backend | fix: el_map unaligned acse fixes | perf: optimize zero_acc_vec in flash_attn_ext_f16_me | perf: use hart 1 for packing in MM and FA for FP16 | feat: kernel semaphore | perf: better instruction sequence in FlashAttention | fix: gated_delta_net with proper masking | perf: better parallelization for GATED_DELTA_NET | perf: parallelize SSM_CONV over nr | perf: vectorize SSM_CONV | perf: optimize MUL_MAT for q8 | feat: support Gemma 4 | fix: support multi-device | feat: broader GLU support | feat: unary ops supports view | fix: repair fp16 MM using matrix engine | perf: handle large N GEMV better | perf: better q8_0 MM | perf: better set_rows | add back deleted files | fix: repair after merge | feat: POC version of uberkernel | feat: RMS_NORM in uberkernel | feat: add more kernels into usage | chore: clean up uberkernel compilation | perf: faster flash attention | perf: opt flash attention for large seq length | feat: loosen op bounds. clamp and mean support | perf: vectorize ssm_scan | perf: slightly faster FA | perf: FlashAttention parallel MM and load | perf: fuse Q8 MM and ADD | feat: basic conv kernel for ET | softMAx_test | set_rows_f32 | get_rows and cont | testing | set_rows_exp | Junk addition | Narrowing the issue | Update flash_attn_ext_f16_me.c Focusing FA_ext_f16_me | test | Eviction updated | Detailed cache eviction debug | mulmat | removeal of `BUILD_FOR_UBERKERNEL` flag | cleaning... | fix: balance FCC0 count | feat: implement mul_mat and mul_mat_id for Q4_0 type | optimize uberkernel plan upload | add mul_mat q4 into uberkernel | enable gating flush to just uberkernel | update docs for ET | update op support for ET | et-backend: optimize Q4_0 and Q8_0 mul_mat_id row accumulations | et-backend: specialize mul_mat_id kernels for Q4_0 and Q8_0 | et-backend: fix RoPE YaRN corr_dim formula and handle degenerate inputs | test-backend-ops: add DeepSeek-V2-Lite RoPE test coverage | et-backend: add Q4_0 mul_mat matrix-engine kernel using TensorFMA32 | et-backend: vectorize Q4_0 matrix-engine dequantization | et-backend: support hybrid matrix/vector engine execution for Q4_0 mul_mat tail | et-backend: run partial-N tiles on matrix engine for Q4_0 mul_mat | et-backend: route Q4_0 mul_mat N Co-authored-by: Gianluca Guida Co-authored-by: Gianluca Guida Co-authored-by: ubergarm Co-authored-by: SaqibAkram-10xE Co-authored-by: Rehan Qasim"
b9950,2026-07-10T14:15:21Z,llama-batch: add unit test (#25471) | llama-batch: add unit test | fix win32 builds | add not implemented assertion in unused methods | remove unreachable code
b9949,2026-07-10T10:37:26Z,opencl: cluster-parallel decode FA for Adreno (#25473)
b9948,2026-07-10T07:43:59Z,ggml : process data in smaller chunks in CUDA ggml_top_k() and ggml_argsort() to reduce temporary buffers memory usage (#24776) | ggml : process data in smaller chunks in CUDA ggml_top_k() implementation to reduce temporary buffers memory usage | ggml : allocate tmp_dst only only once before the loop | chore : whitespaces Co-authored-by: Georgi Gerganov | ggml : use chunked processing in both CUDA CUB top-k and argsort implementations | chore : separate argsort_f32_i32_cuda_bitonic() call from return statement Co-authored-by: Johannes Gäßler | chore : replace ternary operators with min/max --------- Co-authored-by: Stanisław Szymczyk Co-authored-by: Georgi Gerganov Co-authored-by: Johannes Gäßler
b9947,2026-07-10T04:46:59Z,cli: add --output option (#25484)
b9946,2026-07-09T22:20:35Z,"hexagon: tiling, tracing and optimizations for unary ops (#25474) | hexagon: tile wide rows in pointwise unary ops to avoid VTCM overflow | unary: reject permuted tensors for now (not used by models) | hex-unary: replace divs with fastdiv | hex-unary: add vtcm layout and host computed kernel params | hex-unary: move fastdiv init into kernel params | hex-unary: add specialized thread functions to improve generated code | hex-unary: tracing instrumentation for unary ops | hex-unary: factor out hvx kernels, streamline and remove more duplication | ggml-hexagon: fix std::min collision with Windows min macro | hex-cmake: make lto build happy --------- Co-authored-by: Max Krasnyansky"
b9945,2026-07-09T21:47:16Z,"server : move chat-template thinking probe inside the init try/catch (#24093) A model whose chat template parses at init but fails parser generation at apply time (e.g. uses {% call %}) throws std::invalid_argument from common_chat_templates_support_enable_thinking(), which ran outside the try/catch guarding common_chat_templates_init(). The throw was uncaught and llama-cli aborted (SIGABRT) instead of failing to load. Moved the probe inside that try/catch so an apply-time error fails load the same way an init parse error does. Signed-off-by: Jesse LaRose"
b9941,2026-07-09T20:17:48Z,"Only index by compile times + always multiply/add (#25445) The first one avoids relying on compile to optimize local memory away, and the second is cheaper than issuing control flow statements"
b9940,2026-07-09T11:38:20Z,llama-bench : init params.offline (#25476) Signed-off-by: Adrien Gallouët
b9939,2026-07-09T10:58:24Z,metal : add CONV_2D_DW (depthwise convolution) support (#21565) | metal : add CONV_2D_DW (depthwise 2D convolution) support | test : add perf cases for CONV_2D_DW | metal : use 3D dispatch for CONV_2D_DW kernel | metal : add channel-tiled CONV_2D_DW kernel for non-contiguous layouts | metal : simplify CONV_2D_DW dispatch and trim comments | metal : merge duplicate CONV_2D_DW pipeline getters | tests : add F16 CONV2D_DW tests | cpu : fix F16 kernel support for CONV_2D_DW | tests : remove commented-out CONV_2D_DW test block --------- Co-authored-by: Georgi Gerganov
b9938,2026-07-09T10:08:19Z,"ggml-hip: enable -funsafe-math-optimizations (#24668) CUDA is compiled with fast math and AMD/HIP is not — this flag lets AMD use fast math too. We can't use -ffast-math: it implies -ffinite-math-only, which won't compile (ggml uses INFINITY for masking) and produces NaNs. -funsafe-math-optimizations gives the speedup without the NaN problems. Co-authored-by: Mark Caldwell"
b9937,2026-07-09T08:30:17Z,"cuda: align snake fusion matcher with the other backends (#25460) | cuda: fix snake fusion type predicate, a and inv_b are F32 The matcher required a->type == x->type while launch_snake reads both as const float *, matching the CPU and Metal contract where a and inv_b stay F32. F16/BF16 chains never fused and fell back to the naive path, and a hypothetical all F16 chain would have read F16 bits as float. Aligns the predicate and the comment with ggml-cpu.c | cuda: reject snake fusion on non-contiguous operands The kernel reads x[idx] and a[c] / inv_b[c] linearly, so a non-contiguous view passing the matcher would silently read wrong data. Mirror the contiguity guard already present in the CPU, Vulkan and Metal matchers."
b9936,2026-07-09T07:09:58Z,server : respect min-step when splitting prompt batches (#25420)
b9935,2026-07-09T05:32:02Z,hexagon: add VISION RoPE support (#25216) | hexagon: add VISION RoPE support | hexagon: support RoPE on strided half-dim views for all modes | hex-rope: decouple src0 DMA copy size from row stride | hex-rope: support non-contiguous dst for RoPE | hex-rope: fix dst spad pitch for non-contiguous dst
b9934,2026-07-09T00:19:17Z,ggml-webgpu: tune subgroup split (d_split) in flash_attn_vec (#25418)
b9933,2026-07-08T23:22:46Z,"opencl: Q6_K GEMM/GEMV fix for ne01 of weights that are not multiples of 128. (#25464) | opencl: fix garbled output for Q6_K weights with ne01 % 128 != 0 on Adreno Observed with granite-3.1-3b-a800m-instruct, whose vocab is an odd number. Route Q6_K dense mul_mat with ne01 % 128 != 0 off the noshuffle path: decode (ne1==1) uses the correct flat GEMV and the matching GEMM (ne1>1) falls back to CPU (the flat convert has no verified small-batch GEMM kernel for these shapes). All standard hidden/FFN/vocab dims are multiples of 128 and keep the noshuffle path. | opencl: reserve alignment slack for the SOA subbuffer carve in alloc size set_tensor carves quantized weights into per-component subbuffers (d/q, ql/qh/s/d, ...) whose origins are each rounded up to the device base address alignment. When a component's size is not a multiple of the alignment, the carve extends past ggml_nbytes(tensor) and the last subbuffer overlaps the next tensor in the pool -- e.g. q6_K [1536, 49155]: size_s = 49155*96 ends 32 bytes past a 128-byte boundary, so the d subbuffer ends 96 bytes past the tensor's allocation, and whichever of the two neighboring tensors is uploaded last silently corrupts the other (here: the last vocab rows' block scales). This affects any quant type whose component sizes can be misaligned, on any shape with ne01 not a multiple of the alignment granularity; standard power-of-two dims are unaffected. Implement get_alloc_size for the OpenCL buffer type and reserve the worst-case carve slack (4 aligned gaps; 5 components max, q5_K) for quantized tensors. Costs at most 512 bytes per quantized tensor at the observed 128-byte alignment. | opencl: use lm based q6_k mm when ne1 is not multiple of 128 --------- Co-authored-by: Li He"
b9932,2026-07-08T21:45:59Z,vulkan: disable FA mask_opt on GCN to improve performance (#24362) | vulkan: disable FA mask_opt on GCN to improve performance | reenable mask opt over attention head size 256
b9931,2026-07-08T21:11:39Z,"opencl: ragged-tile MoE prefill FP16 GEMM optimization (skip padded expert tiles) (#25433) | opencl: ragged-tile MoE prefill GEMM (skip padded expert tiles) The MoE prefill GEMM groups tokens into TILESIZE_N=32 per-expert tiles; at low tokens-per-expert most tiles are mostly padding. When a tile's upper 16 slots are all padding (router index 0xFFFFFFFF), skip the second dotx16_reduce8 half. Numerically identical (skipped lanes are padding). Applied to all eight *_f32_ns MoE GEMMs; default on, opt out with GGML_OPENCL_MOE_RAGGED_FP16=0. | opencl: quarter-granularity ragged MoE tile-skip (8-col skip-groups) Replace the two half-tile dotx16_reduce8 calls in the 8 *_f32_ns MoE GEMMs with four dotx8_reduce4 (8-column) calls, skipping each empty trailing skip-group independently. Padding is always trailing, so the kernel rounds the valid count up to the skip granularity and skips fully-padding groups. Byte-identical to the non-skipped path. New env GGML_OPENCL_MOE_RAGGED_GRAN={8,16,32} (quarter/half/ off); default quarter. | opencl: move ragged moe env var in cl_init --------- Co-authored-by: Li He"
b9930,2026-07-08T20:36:36Z,llama-batch: fix allowed decreasing pos in a seq (#25449)
b9929,2026-07-08T19:53:39Z,"vulkan: for small AMD GPUs, reduce submission threshold based on CU count (#25240)"
b9928,2026-07-08T19:15:01Z,"hexagon: new vtcm layouts and improved pipelines for MUL_MAT, MUL_MAT_ID and FLASH_ATTN_EXT (#25425) | hex-fa: refactor kernel param compute to use common layout builder | hmx: add explicit compiler barriers to make hmx funcs more robust | hex-vtcm: more generic vtcm layout builder for mm and flash-attn kernels | hex-hmx: unroll inner kernels | hex-hmx: use inline asm instead of intrinsics to avoid compiler issues | hex-hmx: define inline asm macros and simplify code | hex-hmx: replace leftover intrinsics | hmx-fa: minor cleanup for hmx asm | hmx-mm: move per-task stucts out of the kernels header | hmx-mm: simplify core_dot_chunk | hmx-mm: simplify inner loops that call hmx instructions | hmx-mm: proper instrumentation for activation prep work for dma pipelined version | hmx-mm: update a-prep loop for better prefetch | hex-vtcm: improved vtcm layout alloc for mm to support overlapping areas | hmx-mm: reduce the number of act fetch tows to 4 for now, going larger doesnt help here | hex-hmx: always use hmx-queue in all modes | hmx-mm: update comments and minor formatting | hmx-mm: further improve synchro fallback path to prefetch the weights earlier | hex-fa: further pipeline improvements (earlier prefetch) | hmx-mm: cleanup dma pipelines to use dst cached in the queue | hmx-fa: minor cleanup and opts for fa dma pipelines | hmx-fa: optimize q-prep stage with dma and unrolling | hmx-fa: use o_tile size from layout instead of computing it | hmx-mm: cleanup types and size handling | hmx-mm: replace divs with fastdiv in qprep loops | hmx-fa: minor update/formatting to q_tile handling | hmx-fa: cleanup the layout to avoid overpadding | hmx-fa: simplified and improved cost mode for hmx fa solver that uses vtcm layout funcs | hmx-queue: add support queue wakeup and make suspend async to avoid hmx-lock latency | hex-hmx: move queue wakeup / suspend to the op-batch level | hex-threads: add hybrid polling to workpool | hex-mm: fix trailing spaces"
b9927,2026-07-08T18:28:45Z,cli : move to HTTP-based implementation (#24948) | cli: move to HTTP-based implementation | wip | working | remote server ok | cli support router mode Co-authored-by: Piotr Wilkin | case: router with only one model | Apply suggestions from code review Co-authored-by: Piotr Wilkin (ilintar) | remove outdated comment | use destructor instead | add ftype | cli-view --> cli-ui | pimpl | no more json in header | nits fixes | also show model aliases --------- Co-authored-by: Piotr Wilkin Co-authored-by: Piotr Wilkin (ilintar)
b9925,2026-07-08T16:52:32Z,cuda : add support for f16->f16 GGML_OP_SET_ROWS (#25367)
b9924,2026-07-08T16:12:57Z,llama: refactor fused ops (#24646)
b9923,2026-07-08T15:26:17Z,"server-stream: follow-up on SSE Replay Buffer (#23226) (#25047) | server-stream : pimpl | server-stream: prefix free functions with server_stream_ address review from ggerganov: scope the public stream functions under the server_stream_ prefix, matching server_stream_session_manager_start/stop. | server-stream: guard session and manager state with the mutex address review from ggerganov: make done, completed_ts and the GC running flag plain members under their mutex and set the condvar predicates under the lock. keep cancelled atomic for the lock-free should_stop poll. | server-stream: trim comments to the non-obvious address review from ggerganov: drop comments that restate the code, keep the concurrency, lifetime and ordering rationale. de-stale a few comments left by the pimpl: g_stream_sessions is now internal and the /v1/streams listing is gone. | server-stream: update dev docs for the pimpl and prefix reflect server_stream_session_manager_start/stop and the server_stream_ prefix, note the manager is now a file-static singleton hidden in the .cpp | server-stream: move stream traces to debug level keep the bring-up traces for diagnostics but off the default log: skip drain, draining, drain ended, DELETE evict, attach_pipe, and the router stream resume proxy. | server-stream: align router stream resume proxy trace with upstream the child-side bring-up traces are already SRV_TRC on master, move the router stream resume proxy trace to the same level. | server-stream: move stream_read_status enum to the cpp it is only used by the hidden session and consumer types, so it belongs with them behind the pimpl boundary, not on the public header surface. --------- Co-authored-by: Georgi Gerganov"
b9922,2026-07-08T14:51:17Z,llama-batch: add n_keep_tail in split_equal for recurrent models (#25278)
b9918,2026-07-08T13:32:40Z,metal : add set_rows with src0 f16 (#25434) Co-authored-by: Georgi Gerganov
b9917,2026-07-08T13:00:26Z,fix: OOB reads in UGM tokenizer (precompiled_charsmap handling) (#18750) | fix: OOB reads in UGM tokenizer (precompiled_charsmap handling) | Validate minimum size (4 bytes) before reading xcda_blob_size | Use strnlen with bounds check instead of unsafe strlen Both issues allow heap-buffer-overflow from malicious T5/UGM GGUF files. | Replace unsafe strnlen() with a bounds-checked loop that scans for \0 within the remaining array size. | move bounds checks to load | typo merge fix --------- Co-authored-by: hourhl Co-authored-by: Sigbjørn Skjæret
b9916,2026-07-08T12:21:04Z,ggml : fix A indexing in simd_gemm scalar tail-column path (#25390) `simd_gemm()` has an incorrect A-matrix index in the scalar tail-column path for full row blocks.
b9915,2026-07-08T11:47:31Z,ggml : add support for CPU f16->f16 GGML_OP_SET_ROWS (#25344) | ggml : add support for CPU f16->f16 GGML_OP_SET_ROWS | ggml : add missing type checks in f16 GGML_OP_SET_ROWS | ggml : merge ggml_compute_forward_set_rows_f32() and ggml_compute_forward_set_rows_f16() into ggml_compute_forward_set_rows_impl() | chore : replace assert() with GGML_ASSERT() --------- Co-authored-by: Stanisław Szymczyk
b9914,2026-07-08T11:12:43Z,opencl: fix potential crash in aos reconstruct (#25383)
b9913,2026-07-08T10:33:24Z,Add Q2_0 quantization: type definition and CPU backend (#24448)
b9912,2026-07-08T07:53:29Z,"spec : fix naming, spacing (#25410)"
